image Name,object 1,is close to,is far from,is smaller than,is greater than,overlaps,doesnt overlap,is in the right of,is in the left of,is in the bottom of,is in the top of
download (7).jpg,traffic light,bus,na,na,na,na,na,na,na,na,na
download (9).jpg,bus,person,na,na,na,na,na,na,na,na,na
download (9).jpg,person,bus,na,na,na,na,na,na,na,na,na
images (1).jpg,elephant,na,truck,na,na,na,na,na,na,na,na
images (1).jpg,truck,na,elephant,na,na,na,na,na,na,na,na
images (1).jpg,elephant,car,na,na,na,na,na,na,na,na,na
images (1).jpg,car,elephant,na,na,na,na,na,na,na,na,na
images (1).jpg,elephant,truck,na,na,na,na,na,na,na,na,na
images (1).jpg,truck,elephant,na,na,na,na,na,na,na,na,na
images (1).jpg,elephant,car,na,na,na,na,na,na,na,na,na
images (1).jpg,car,elephant,na,na,na,na,na,na,na,na,na
images (1).jpg,truck,car,na,na,na,na,na,na,na,na,na
images (1).jpg,car,truck,na,na,na,na,na,na,na,na,na
images (1).jpg,truck,truck,na,na,na,na,na,na,na,na,na
images (1).jpg,truck,truck,na,na,na,na,na,na,na,na,na
images (1).jpg,truck,car,na,na,na,na,na,na,na,na,na
images (1).jpg,car,truck,na,na,na,na,na,na,na,na,na
images (1).jpg,car,truck,na,na,na,na,na,na,na,na,na
images (1).jpg,truck,car,na,na,na,na,na,na,na,na,na
images (1).jpg,car,na,car,na,na,na,na,na,na,na,na
images (1).jpg,car,na,car,na,na,na,na,na,na,na,na
images (1).jpg,truck,car,na,na,na,na,na,na,na,na,na
images (1).jpg,car,truck,na,na,na,na,na,na,na,na,na
images.jpg,person,car,na,na,na,na,na,na,na,na,na
images.jpg,car,person,na,na,na,na,na,na,na,na,na
images.jpg,person,elephant,na,na,na,na,na,na,na,na,na
images.jpg,elephant,person,na,na,na,na,na,na,na,na,na
images.jpg,person,na,person,na,na,na,na,na,na,na,na
images.jpg,person,na,person,na,na,na,na,na,na,na,na
images.jpg,person,person,na,na,na,na,na,na,na,na,na
images.jpg,person,person,na,na,na,na,na,na,na,na,na
images.jpg,person,person,na,na,na,na,na,na,na,na,na
images.jpg,person,person,na,na,na,na,na,na,na,na,na
images.jpg,car,elephant,na,na,na,na,na,na,na,na,na
images.jpg,elephant,car,na,na,na,na,na,na,na,na,na
images.jpg,car,person,na,na,na,na,na,na,na,na,na
images.jpg,person,car,na,na,na,na,na,na,na,na,na
images.jpg,car,person,na,na,na,na,na,na,na,na,na
images.jpg,person,car,na,na,na,na,na,na,na,na,na
images.jpg,car,person,na,na,na,na,na,na,na,na,na
images.jpg,person,car,na,na,na,na,na,na,na,na,na
images.jpg,elephant,person,na,na,na,na,na,na,na,na,na
images.jpg,person,elephant,na,na,na,na,na,na,na,na,na
images.jpg,elephant,person,na,na,na,na,na,na,na,na,na
images.jpg,person,elephant,na,na,na,na,na,na,na,na,na
images.jpg,elephant,person,na,na,na,na,na,na,na,na,na
images.jpg,person,elephant,na,na,na,na,na,na,na,na,na
images.jpg,person,person,na,na,na,na,na,na,na,na,na
images.jpg,person,person,na,na,na,na,na,na,na,na,na
images.jpg,person,person,na,na,na,na,na,na,na,na,na
images.jpg,person,person,na,na,na,na,na,na,na,na,na
images.jpg,person,person,na,na,na,na,na,na,na,na,na
images.jpg,person,person,na,na,na,na,na,na,na,na,na
download (10).jpg,cat,na,na,na,cup,na,na,na,na,na,na
download (10).jpg,cup,na,na,cat,na,na,na,na,na,na,na
download (12).jpg,cat,na,na,dining table,na,na,na,na,na,na,na
download (12).jpg,dining table,na,na,na,cat,na,na,na,na,na,na
download (14).jpg,elephant,na,na,na,elephant,na,na,na,na,na,na
download (14).jpg,elephant,na,na,elephant,na,na,na,na,na,na,na
download (15).jpg,elephant,na,na,cow,na,na,na,na,na,na,na
download (15).jpg,cow,na,na,na,elephant,na,na,na,na,na,na
